Criminology & Penology	Social Network and Distance Correlates of Criminal Associates Involved in Illicit Drug Production
Law	Typhoid Mario: Video Game Piracy as Viral Vector and National Security Threat
Criminology & Penology	Changes in European instruments as a reflection of a shift in legal philosophies relating to community sanctions and measures
Psychology, Multidisciplinary	The Dance of the Comedians: The People, the President, and the Performance of Political Standup Comedy in America
History	"""The Most Dangerous Communist in the United States"": A Biography of Herbert Aptheker"
Political Science	Observing Intermittently: The Effects of Discontinuity in the Fieldwork
Ethnic Studies	Digital belongings: The intersections of social cohesion, connectivity and digital media
Cultural Studies	"The political impact of the European Capital of Culture: ""Maribor 2012 gave us the power to change the regime'"
Regional & Urban Planning	Spatial Structure and Traffic Safety: Traffic Accident Rate in the Communities of North Rhine-Westphalia
Ethics	Stanislaw Brzozowski (1878-1911) Introduction
Ethics	Bridging the Gap Between Ethical Theory and Practice in Medicine: A Constructivist Grounded Theory Study
Psychology, Multidisciplinary	The effect of joke-origin-induced expectancy on cognitive humor
Area Studies	A Critical Approach to the Term Turkish Diaspora: Is there 'the' Turkish Diaspora?
Development Studies	Long-term solutions for a short-term world: Canada and research development
Linguistics	The Construction of Social Meaning: A Matched-Guise Investigation of the California Vowel Shift
Sociology	New Destination Dreaming: Immigration, Race, and Legal Status in the Rural American South
Area Studies	The China Quarterly in an Era of Transitions, 1996-2002
Rehabilitation	Accessing disability services by people from culturally and linguistically diverse backgrounds in Australia
Urban Studies	Urban geography of arts: The co-production of arts and cities
Education, Special	Effects of an In-Service Training Program Using the Routines-Based Interview
Gerontology	Listening to Music and Active Music Therapy in Behavioral Disturbances in Dementia: A Crossover Study
Information Science & Library Science	Using an inpatient portal to engage families in pediatric hospital care
Rehabilitation	Family experience with osteogenesis imperfecta type 1: the most distressing situations
Economics	Modelling the impact of macroeconomic variables on aggregate corporate insolvency: case of Croatia
Social Work	Editorial
Ethnic Studies	Male genital mutilation: Beyond the tolerable?
International Relations	"""All Politics Is Regional"": Emerging Powers and the Regionalization of Global Governance"
Anthropology	Recombination networks as genetic markers in a human variation study of the Old World.
Social Work	Women and Their Mothers-in-Law: Triangles, Ambiguity, and Relationship Quality
Social Sciences, Interdisciplinary	Re-evaluating the concept of adulthood and the framework of transition
Demography	Caesarean section and children's health: A quasi-experimental design
International Relations	Cyberdemocracy? Information and Communication Technologies in Civil Society Consultations for Sustainable Development
Health Policy & Services	Modelling the affordability and distributional implications of future health care financing options in South Africa
Nursing	The 7th Nursing Knowledge: Big Data Conference Brings Remarkable Accomplishments and Shows Staying Power on Key Fronts
Political Science	The Crime of Obama's Cool
Anthropology	Fossil hominin radii from the Sima de los Huesos Middle Pleistocene site (Sierra de Atapuerca, Spain)
Cultural Studies	Beyond Autonomy: Walter Benjamin on the Life of Students
Demography	EMPLOYMENT AND SELF-EMPLOYMENT IN THE WAKE OF HURRICANE KATRINA
Public, Environmental & Occupational Health	Association between physical exercise and psychosocial problems in 96 617 Dutch adolescents in secondary education: a cross-sectional study
Rehabilitation	Development and Validation of the Occupational Self-Assessment-Short Form (OSA-SF)
Urban Studies	Cities without slums? China's land regime and dual-track urbanization
Social Sciences, Interdisciplinary	"""Presentation"" and ""representation"" of contents as principles of media convergence: A model of rhetorical narrativity of interactive multimedia design in mass communication with a case study of the digital edition of the New York Times"
Substance Abuse	Dental opioid prescribing practices and risk mitigation strategy implementation: Identification of potential targets for provider-level intervention
Business, Finance	THE IMPACT OF MACROECONOMIC UNCERTAINTY ON FIRMS' CHANGES IN FINANCIAL LEVERAGE
Ethics	When Justice Demands Inequality
Nursing	Achieving Health Equity Through Use of Information Technology to Address Social Determinants of Health
Transportation	Second hand vessel value estimation in maritime economics: A review of the past 20 years and the proposal of an elementary method
Family Studies	Who Remains Unpartnered by Mid-Life in Norway? Differentials by Gender and Education
Public, Environmental & Occupational Health	GRIP STRENGTH ACROSS THE LIFE COURSE: NORMATIVE DATA FROM TWELVE BRITISH STUDIES
Social Work	Children and Domestic Homicide
Social Sciences, Mathematical Methods	Generating Manhattan plots in Stata
Public Administration	Commentary: Grappling with the True Nature of the Administrative Presidency
Substance Abuse	Risk Behavior in Opioid-Dependent Individuals After the Administration of a Therapeutic Dose of Methadone
Substance Abuse	Back to the Future . . . or . . . Is That All There Is? A Commentary on Courtney et al. (2018)
History Of Social Sciences	Outskirts. Living Life on the Edge of the Green Belt (vol 33, pg 150, 2017)
Gerontology	"""When unlikely becomes the outcome"" - Delirium as a complication of Interventional radiology (IR) embolization of Hepatocellular Carcinoma (HCC) - case report"
Urban Studies	A socio-technical transition framework for introducing cycling in developing megacities: The case of Istanbul
Social Sciences, Biomedical	Darwin's Pharmacy: Sex, Plants, and the Evolution of the Noosphere
History & Philosophy Of Science	Online communities as virtual cognitive niches
Health Policy & Services	Voluntary counseling and testing (VCT) for HIV/AIDS: A study of the knowledge, awareness and willingness to pay for VCT among students in tertiary institutions in Enugu State Nigeria
International Relations	Free trade agreements and vertical-specialisation in East Asia
Social Sciences, Mathematical Methods	Computing finite-time survival probabilities using multinomial approximations of risk models
Demography	Causes, consequences, effects and impact of the migrations in Latin America
Communication	The Warmth of Other Suns: the epic story of America's great migration
Education & Educational Research	"Determinants of college students"" use of online collaborative help-seeking tools"
Education, Special	How far can social role valorisation theory help in transition planning for a school-leaver with significant special needs?
Industrial Relations & Labor	Digitization changes everything: improving economic measurement in an era of radical innovation and transformation
Social Work	Bringing Trauma-Informed Practice to Domestic Violence Programs: A Qualitative Analysis of Current Approaches
Criminology & Penology	Everyday patrol work for a data-driven flying squad: advancing theoretical thinking on police craftsmanship in interacting with civilians
Linguistics	Translation Studies Forum: Universalism in translation studies Response
Family Studies	Examining women's and men's ideal criteria before forming families
Criminology & Penology	Processes of radicalization in the course of highly expressive violent acts Development and testing of a standardized instrument for file analysis
Communication	Watching the Detectives Inside the Guilty Landscapes of Inspector Morse, Baantjer and Wallander
Education & Educational Research	How musical are primary generalist student teachers?
